"ModuleName","ResolvedCommandName","DisplayName","Synopsis","Namespace","CommandType"
"pipescript","Export-Pipescript","bps -> Export-Pipescript","","pipescript","Alias"
"pipescript","Export-Pipescript","Build-PipeScript","","pipescript\Build","Alias"
"pipescript","Export-Pipescript","eps -> Export-Pipescript","","pipescript","Alias"
"pipescript","Import-PipeScript",".< -> Import-PipeScript","","pipescript","Alias"
"pipescript","Import-PipeScript","imps -> Import-PipeScript","","pipescript","Alias"
"pipescript","Invoke-PipeScript",".> -> Invoke-PipeScript","","pipescript","Alias"
"pipescript","Invoke-PipeScript","ips -> Invoke-PipeScript","","pipescript","Alias"
"pipescript","Join-PipeScript","Join-ScriptBlock","","pipescript\Join","Alias"
"pipescript","Join-PipeScript","jps -> Join-PipeScript","","pipescript","Alias"
"pipescript","New-PipeScript","New-ScriptBlock","","pipescript\New","Alias"
"pipescript","Search-PipeScript","Search-ScriptBlock","","pipescript\Search","Alias"
"pipescript","Update-PipeScript","Update-ScriptBlock","","pipescript\Update","Alias"
"pipescript","Update-PipeScript","ups -> Update-PipeScript","","pipescript","Alias"
"pipescript","Use-PipeScript",".<ADA.Template> -> Use-PipeScript","","pipescript\.<ADA.Template","Alias"
"pipescript","Use-PipeScript",".<Aliases> -> Use-PipeScript","","pipescript\.<Aliases","Alias"
"pipescript","Use-PipeScript",".<All> -> Use-PipeScript","","pipescript\.<All","Alias"
"pipescript","Use-PipeScript",".<Arduino.Template> -> Use-PipeScript","","pipescript\.<Arduino.Template","Alias"
"pipescript","Use-PipeScript",".<Assert> -> Use-PipeScript","","pipescript\.<Assert","Alias"
"pipescript","Use-PipeScript",".<ATOM.Template> -> Use-PipeScript","","pipescript\.<ATOM.Template","Alias"
"pipescript","Use-PipeScript",".<Await> -> Use-PipeScript","","pipescript\.<Await","Alias"
"pipescript","Use-PipeScript",".<Bash.Template> -> Use-PipeScript","","pipescript\.<Bash.Template","Alias"
"pipescript","Use-PipeScript",".<Bash> -> Use-PipeScript","","pipescript\.<Bash","Alias"
"pipescript","Use-PipeScript",".<Basic.Template> -> Use-PipeScript","","pipescript\.<Basic.Template","Alias"
"pipescript","Use-PipeScript",".<Batch.Template> -> Use-PipeScript","","pipescript\.<Batch.Template","Alias"
"pipescript","Use-PipeScript",".<Batch> -> Use-PipeScript","","pipescript\.<Batch","Alias"
"pipescript","Use-PipeScript",".<BatchPowerShell> -> Use-PipeScript","","pipescript\.<BatchPowerShell","Alias"
"pipescript","Use-PipeScript",".<Bicep.Template> -> Use-PipeScript","","pipescript\.<Bicep.Template","Alias"
"pipescript","Use-PipeScript",".<ConditionalKeyword> -> Use-PipeScript","","pipescript\.<ConditionalKeyword","Alias"
"pipescript","Use-PipeScript",".<CPlusPlus.Template> -> Use-PipeScript","","pipescript\.<CPlusPlus.Template","Alias"
"pipescript","Use-PipeScript",".<CSharp.Template> -> Use-PipeScript","","pipescript\.<CSharp.Template","Alias"
"pipescript","Use-PipeScript",".<CSS.Template> -> Use-PipeScript","","pipescript\.<CSS.Template","Alias"
"pipescript","Use-PipeScript",".<Dart.Template> -> Use-PipeScript","","pipescript\.<Dart.Template","Alias"
"pipescript","Use-PipeScript",".<Decorate> -> Use-PipeScript","","pipescript\.<Decorate","Alias"
"pipescript","Use-PipeScript",".<Define> -> Use-PipeScript","","pipescript\.<Define","Alias"
"pipescript","Use-PipeScript",".<Dot> -> Use-PipeScript","","pipescript\.<Dot","Alias"
"pipescript","Use-PipeScript",".<EqualityComparison> -> Use-PipeScript","","pipescript\.<EqualityComparison","Alias"
"pipescript","Use-PipeScript",".<EqualityTypeComparison> -> Use-PipeScript","","pipescript\.<EqualityTypeComparison","Alias"
"pipescript","Use-PipeScript",".<Explicit> -> Use-PipeScript","","pipescript\.<Explicit","Alias"
"pipescript","Use-PipeScript",".<Go.Template> -> Use-PipeScript","","pipescript\.<Go.Template","Alias"
"pipescript","Use-PipeScript",".<HAXE.Template> -> Use-PipeScript","","pipescript\.<HAXE.Template","Alias"
"pipescript","Use-PipeScript",".<HCL.Template> -> Use-PipeScript","","pipescript\.<HCL.Template","Alias"
"pipescript","Use-PipeScript",".<Help> -> Use-PipeScript","","pipescript\.<Help","Alias"
"pipescript","Use-PipeScript",".<HLSL.Template> -> Use-PipeScript","","pipescript\.<HLSL.Template","Alias"
"pipescript","Use-PipeScript",".<HTML.Template> -> Use-PipeScript","","pipescript\.<HTML.Template","Alias"
"pipescript","Use-PipeScript",".<Http.Protocol> -> Use-PipeScript","","pipescript\.<Http.Protocol","Alias"
"pipescript","Use-PipeScript",".<Include> -> Use-PipeScript","","pipescript\.<Include","Alias"
"pipescript","Use-PipeScript",".<Inherit> -> Use-PipeScript","","pipescript\.<Inherit","Alias"
"pipescript","Use-PipeScript",".<Java.Template> -> Use-PipeScript","","pipescript\.<Java.Template","Alias"
"pipescript","Use-PipeScript",".<JavaScript.Template> -> Use-PipeScript","","pipescript\.<JavaScript.Template","Alias"
"pipescript","Use-PipeScript",".<Json.Template> -> Use-PipeScript","","pipescript\.<Json.Template","Alias"
"pipescript","Use-PipeScript",".<JSONSchema.Protocol> -> Use-PipeScript","","pipescript\.<JSONSchema.Protocol","Alias"
"pipescript","Use-PipeScript",".<Kotlin.Template> -> Use-PipeScript","","pipescript\.<Kotlin.Template","Alias"
"pipescript","Use-PipeScript",".<Latex.Template> -> Use-PipeScript","","pipescript\.<Latex.Template","Alias"
"pipescript","Use-PipeScript",".<LUA.Template> -> Use-PipeScript","","pipescript\.<LUA.Template","Alias"
"pipescript","Use-PipeScript",".<Markdown.Template> -> Use-PipeScript","","pipescript\.<Markdown.Template","Alias"
"pipescript","Use-PipeScript",".<ModuleExports> -> Use-PipeScript","","pipescript\.<ModuleExports","Alias"
"pipescript","Use-PipeScript",".<ModuleRelationship> -> Use-PipeScript","","pipescript\.<ModuleRelationship","Alias"
"pipescript","Use-PipeScript",".<NamespacedAlias> -> Use-PipeScript","","pipescript\.<NamespacedAlias","Alias"
"pipescript","Use-PipeScript",".<NamespacedFunction> -> Use-PipeScript","","pipescript\.<NamespacedFunction","Alias"
"pipescript","Use-PipeScript",".<New> -> Use-PipeScript","","pipescript\.<New","Alias"
"pipescript","Use-PipeScript",".<ObjectiveC.Template> -> Use-PipeScript","","pipescript\.<ObjectiveC.Template","Alias"
"pipescript","Use-PipeScript",".<OpenSCAD.Template> -> Use-PipeScript","","pipescript\.<OpenSCAD.Template","Alias"
"pipescript","Use-PipeScript",".<OutputFile> -> Use-PipeScript","","pipescript\.<OutputFile","Alias"
"pipescript","Use-PipeScript",".<Perl.Template> -> Use-PipeScript","","pipescript\.<Perl.Template","Alias"
"pipescript","Use-PipeScript",".<PHP.Template> -> Use-PipeScript","","pipescript\.<PHP.Template","Alias"
